brand,product_name,product_url,product_image_url,on_sale_flag,sale_price,msrp_price,sale_perc_off
Nike,Tiger Woods Perf Mesh II,https://www.zappos.com/p/nike-tiger-woods-perf-mesh-ii-black/product/8140344/color/3,https://m.media-amazon.com/images/I/81QZFJ+yA0L.AC_SX600.jpg,1,75.0,75.0,0.0
Dolce Vita,Mochi,https://www.zappos.com/p/dolce-vita-mochi-black-plush/product/9479181/color/65437,https://m.media-amazon.com/images/I/71hu4ojUscL.AC_SX600.jpg,1,59.95,59.95,0.0
Kate Spade New York,Brushed Jersey Jogger Long Pajama Set,https://www.zappos.com/p/kate-spade-new-york-brushed-jersey-jogger-long-pajama-set-leopard/product/9443315/color/429,https://m.media-amazon.com/images/I/81x2Br1xeRL.AC_SX600.jpg,1,78.0,78.0,0.0
DV Dolce Vita,Vox,https://www.zappos.com/p/dv-dolce-vita-vox-bone/product/9464414/color/5,https://m.media-amazon.com/images/I/71f1-fhGFYL.AC_SX600.jpg,1,63.11,79.0,20.0
The North Face,Venture 2 Jacket,https://www.zappos.com/p/the-north-face-venture-2-jacket-pink-clay/product/8798192/color/369985,https://m.media-amazon.com/images/I/71AOzInXU0L.AC_SX600.jpg,1,98.95,98.95,0.0
The North Face,Thermoball Microbaffle Bootie Zip,https://www.zappos.com/p/the-north-face-thermoball-microbaffle-bootie-zip-zinc-grey-micro-chip-grey/product/9259098/color/823987,https://m.media-amazon.com/images/I/71v36vUpctL.AC_SX600.jpg,1,94.95,94.95,0.0
Paul Smith,3-Pack No Show Socks,https://www.zappos.com/p/paul-smith-3-pack-no-show-socks-black-grey-navy/product/9417418/color/67712,https://m.media-amazon.com/images/I/71ylUzpG2cL.AC_SX600.jpg,1,52.99,65.0,18.0
Pendleton,Chief Joseph Muchacho Blanket,https://www.zappos.com/p/pendleton-chief-joseph-muchacho-blanket-grey/product/8791440/color/401,https://m.media-amazon.com/images/I/91oPiIB0FOL.AC_SX1200.jpg,1,74.63,99.5,25.0
UGG,Polartec (T) Sherpa Behind the Head Earmuff,https://www.zappos.com/p/ugg-polartec-t-sherpa-behind-the-head-earmuff-light-grey/product/9421846/color/6700,https://m.media-amazon.com/images/I/81jLKMS8r+L.AC_SX600.jpg,1,,,0.0
Dockers,Sutler,https://www.zappos.com/p/dockers-sutler-brown-distressed-synthetic/product/9451442/color/888364,https://m.media-amazon.com/images/I/81J7EZj982L.AC_SX600.jpg,1,69.95,90.0,22.0
Fjällräven,Kånken Mini,https://www.zappos.com/p/fjallraven-kanken-mini-mint-green-cool-white/product/8291454/color/873040,https://m.media-amazon.com/images/I/81l3c7ute7L.AC_SX600.jpg,1,69.95,75.0,7.0
Swarovski,The Elements Bracelet,https://www.zappos.com/p/swarovski-the-elements-bracelet-green/product/9467305/color/396,https://m.media-amazon.com/images/I/71jJNlmu68L.AC_SX600.jpg,1,66.75,89.0,25.0
ALDO,Antarcticc,https://www.zappos.com/p/aldo-antarcticc-cognac/product/9466161/color/184651,https://m.media-amazon.com/images/I/71x059cUuPL.AC_SX600.jpg,1,59.95,59.95,0.0
DV Dolce Vita,Heleen,https://www.zappos.com/p/dv-dolce-vita-heleen-brown-multi/product/9454969/color/3091,https://m.media-amazon.com/images/I/81WGbe1UgcL.AC_SX600.jpg,1,70.99,79.0,10.0
MIA,Grant,https://www.zappos.com/p/mia-grant-black/product/9466000/color/3,https://m.media-amazon.com/images/I/81rZyKBXkVL.AC_SX600.jpg,1,69.0,69.0,0.0
MICHAEL Michael Kors,MK Logo Mid Rain Bootie,https://www.zappos.com/p/michael-michael-kors-mk-logo-mid-rain-bootie-black/product/9470796/color/3,https://m.media-amazon.com/images/I/71aEwIcVqlL.AC_SX600.jpg,1,99.0,99.0,0.0
The North Face,Gordon Lyons Vest,https://www.zappos.com/p/the-north-face-gordon-lyons-vest-hawthorne-khaki-heather/product/9226671/color/870706,https://m.media-amazon.com/images/I/81At2reQxxL.AC_SX600.jpg,1,62.25,89.0,30.0
Sperry,Saltwater Duck,https://www.zappos.com/p/sperry-saltwater-duck-tan-brown/product/9414421/color/680,https://m.media-amazon.com/images/I/71XxVYHOLpL.AC_SX600.jpg,1,99.95,99.95,0.0
Spanx,Faux Leather Camo Leggings,https://www.zappos.com/p/spanx-faux-leather-camo-leggings-matte-black-camo/product/9120497/color/468469,https://m.media-amazon.com/images/I/714uYujXzeL.AC_SX1200.jpg,1,78.4,98.0,20.0
Steve Madden,Lancaster Bootie,https://www.zappos.com/p/steve-madden-lancaster-bootie-black-suede/product/9127485/color/106,https://m.media-amazon.com/images/I/61xMkRchUdL.AC_SX600.jpg,1,79.99,99.95,20.0
UGG,Scuff Logo,https://www.zappos.com/p/ugg-scuff-logo-black/product/9400686/color/3,https://m.media-amazon.com/images/I/712CUbFJQpL.AC_SX600.jpg,1,89.95,89.95,0.0
